# Consolidated Banking Risk Management Dataset - Synthetic Data Generated by AI for Demonstration Purposes
# This dataset combines loan portfolio data, historical performance metrics, and economic scenario projections
# for use in stress testing, liquidity risk analysis, and capital planning demonstrations. All data is artificial and AI-generated.
# 
# Institution: Heritage Regional Bank (Fictitious)
# Dataset Purpose: Regulatory stress testing (CCAR/DFAST), liquidity risk management, and capital planning
# Time Period: 2020-2026 (Historical and Projected)
# Risk Framework: Basel III/IV compliance metrics included
# 
# Data Dictionary:
# reporting_date: Quarter-end reporting date (YYYY-MM-DD)
# loan_id: Unique loan identifier (HRB######)
# loan_type: Type of loan (Consumer, Commercial Real Estate, etc.)
# origination_date: Date loan was originated
# maturity_date: Final maturity date of loan
# original_amount: Original principal amount ($)
# current_balance: Outstanding principal balance ($)
# interest_rate: Current interest rate (decimal)
# risk_rating: Internal risk rating (1=Highest Quality, 10=Default)
# industry_code: Borrower industry classification
# geographic_region: Geographic concentration (Northeast, Southeast, etc.)
# collateral_type: Type of collateral securing loan
# ltv_ratio: Loan-to-value ratio (decimal)
# debt_service_coverage: Debt service coverage ratio
# days_past_due: Number of days payment is past due
# charge_off_flag: Binary flag for charge-offs (1=charged off)
# probability_of_default: Modeled 12-month probability of default
# loss_given_default: Estimated loss given default (%)
# exposure_at_default: Exposure amount at time of default ($)
# expected_credit_loss: 12-month expected credit loss ($)
# stress_pd_baseline: Baseline scenario PD (%)
# stress_pd_adverse: Adverse scenario PD (%)
# stress_pd_severely_adverse: Severely adverse scenario PD (%)
# total_assets: Bank total assets ($)
# total_loans: Total loan portfolio ($)
# total_deposits: Total customer deposits ($)
# tier1_capital_ratio: Tier 1 capital ratio (%)
# leverage_ratio: Leverage ratio (%)
# liquidity_coverage_ratio: Liquidity coverage ratio (%)
# net_interest_income: Quarterly net interest income ($)
# provision_credit_losses: Quarterly provision for credit losses ($)
# gdp_growth_rate: Economic scenario GDP growth rate (%)
# unemployment_rate: Economic scenario unemployment rate (%)
# home_price_index: Economic scenario home price index (base=1.0)
# interest_rate_10yr: Economic scenario 10-year treasury rate (%)
# credit_spread: Economic scenario credit spread (%)
# scenario_type: Economic scenario classification

reporting_date,loan_id,loan_type,origination_date,maturity_date,original_amount,current_balance,interest_rate,risk_rating,industry_code,geographic_region,collateral_type,ltv_ratio,debt_service_coverage,days_past_due,charge_off_flag,probability_of_default,loss_given_default,exposure_at_default,expected_credit_loss,stress_pd_baseline,stress_pd_adverse,stress_pd_severely_adverse,total_assets,total_loans,total_deposits,tier1_capital_ratio,leverage_ratio,liquidity_coverage_ratio,net_interest_income,provision_credit_losses,gdp_growth_rate,unemployment_rate,home_price_index,interest_rate_10yr,credit_spread,scenario_type
2024-04-01,HRB000011,Residential Real Estate,2021-11-06,2051-11-06,335683.62,119282.56,0.0538,1,Manufacturing,West Coast,Residential Property,0.849,0.0,0,0,0.007,0.20,119282.56,166.80,0.008,0.021,0.056,84413059532.35,52787240107.30,73053653354.42,0.1428,0.1012,1.3860,118414759.25,36155650.24,0.025,0.038,1.015,0.045,0.015,Baseline
2024-04-01,HRB000012,Commercial Real Estate,2023-10-14,2026-10-14,140552.40,20230.14,0.0559,2,Agriculture,Southwest,Retail,0.680,0.99,0,0,0.018,0.30,20230.14,109.24,0.022,0.054,0.144,84413059532.35,52787240107.30,73053653354.42,0.1428,0.1012,1.3860,118414759.25,36155650.24,0.025,0.038,1.015,0.045,0.015,Baseline
2024-04-01,HRB000013,Consumer,2020-01-07,2021-01-07,101035.75,40936.85,0.1056,6,Manufacturing,Northeast,Other,0.0,0.0,0,0,0.068,0.35,40936.85,978.31,0.082,0.164,0.410,84413059532.35,52787240107.30,73053653354.42,0.1428,0.1012,1.3860,118414759.25,36155650.24,0.025,0.038,1.015,0.045,0.015,Baseline
2024-04-01,HRB000014,Commercial & Industrial,2022-10-21,2037-10-21,133447.67,56034.69,0.0524,4,Retail,Midwest,Unsecured,0.0,1.14,60,0,0.045,0.50,56034.69,1260.78,0.054,0.108,0.270,84413059532.35,52787240107.30,73053653354.42,0.1428,0.1012,1.3860,118414759.25,36155650.24,0.025,0.038,1.015,0.045,0.015,Baseline
2024-04-01,HRB000015,Residential Real Estate,2021-03-04,2022-03-04,4592337.90,915367.31,0.0486,4,Real Estate,Southwest,Residential Property,0.596,0.0,30,0,0.042,0.25,915367.31,9612.86,0.050,0.101,0.252,84413059532.35,52787240107.30,73053653354.42,0.1428,0.1012,1.3860,118414759.25,36155650.24,0.025,0.038,1.015,0.045,0.015,Baseline
2024-07-01,HRB000016,Consumer,2023-03-31,2053-03-31,4407534.84,2373755.94,0.0442,5,Manufacturing,Southeast,Other,0.0,0.0,0,0,0.052,0.30,2373755.94,36988.55,0.062,0.125,0.312,85799532500.18,59925971497.19,72713871931.77,0.1341,0.1006,1.1889,170980950.78,44619165.67,0.025,0.038,1.030,0.045,0.015,Baseline
2024-07-01,HRB000017,Credit Cards,2021-12-10,2024-12-10,829054.72,111786.97,0.1169,1,Technology,West Coast,Other,0.0,0.0,0,0,0.008,0.40,111786.97,357.72,0.010,0.024,0.064,85799532500.18,59925971497.19,72713871931.77,0.1341,0.1006,1.1889,170980950.78,44619165.67,0.025,0.038,1.030,0.045,0.015,Baseline
2024-07-01,HRB000018,Commercial & Industrial,2023-10-17,2024-10-17,85700.98,55350.00,0.0414,2,Manufacturing,Southwest,Accounts Receivable,0.0,2.1,0,0,0.016,0.35,55350.00,310.24,0.019,0.048,0.128,85799532500.18,59925971497.19,72713871931.77,0.1341,0.1006,1.1889,170980950.78,44619165.67,0.025,0.038,1.030,0.045,0.015,Baseline
2024-07-01,HRB000019,Residential Real Estate,2022-10-01,2023-10-01,44596.87,20872.72,0.0353,6,Energy,Midwest,Residential Property,0.452,0.0,0,0,0.072,0.22,20872.72,331.51,0.086,0.173,0.432,85799532500.18,59925971497.19,72713871931.77,0.1341,0.1006,1.1889,170980950.78,44619165.67,0.025,0.038,1.030,0.045,0.015,Baseline
2024-07-01,HRB000020,Commercial Real Estate,2023-01-20,2024-01-20,264621.29,83439.46,0.0495,4,Real Estate,Southwest,Retail,0.755,2.13,0,0,0.038,0.32,83439.46,1015.07,0.046,0.091,0.228,85799532500.18,59925971497.19,72713871931.77,0.1341,0.1006,1.1889,170980950.78,44619165.67,0.025,0.038,1.030,0.045,0.015,Baseline
2024-01-01,HRB000001,Consumer,2023-11-02,2024-11-02,85545.13,10170.85,0.1183,2,Retail,Southeast,Other,0.0,0.0,0,0,0.045,0.35,10170.85,160.20,0.054,0.158,0.395,84283339872.31,52480298695.47,74149129276.70,0.1214,0.1057,1.2016,128616672.57,55835360.28,-0.01,0.055,1.0,0.025,0.035,Adverse
2024-01-01,HRB000002,Consumer,2023-11-13,2033-11-13,57121.32,29658.42,0.0484,6,Technology,Northeast,Other,0.0,0.0,0,0,0.158,0.45,29658.42,2113.56,0.189,0.395,0.790,84283339872.31,52480298695.47,74149129276.70,0.1214,0.1057,1.2016,128616672.57,55835360.28,-0.01,0.055,1.0,0.025,0.035,Adverse
2024-01-01,HRB000003,Commercial & Industrial,2020-05-11,2025-05-11,4933852.62,3704715.74,0.101,2,Energy,West Coast,Unsecured,0.0,2.4,0,0,0.054,0.55,3704715.74,110473.83,0.065,0.145,0.290,84283339872.31,52480298695.47,74149129276.70,0.1214,0.1057,1.2016,128616672.57,55835360.28,-0.01,0.055,1.0,0.025,0.035,Adverse
2024-01-01,HRB000004,Consumer,2021-03-31,2026-03-31,391871.66,384273.75,0.1186,5,Manufacturing,Northeast,Other,0.0,0.0,30,0,0.132,0.40,384273.75,20321.16,0.158,0.330,0.660,84283339872.31,52480298695.47,74149129276.70,0.1214,0.1057,1.2016,128616672.57,55835360.28,-0.01,0.055,1.0,0.025,0.035,Adverse
2024-01-01,HRB000005,Commercial Real Estate,2021-04-04,2031-04-04,567320.51,341688.85,0.0947,1,Retail,Midwest,Multifamily,0.616,1.58,0,0,0.024,0.35,341688.85,2875.14,0.029,0.065,0.130,84283339872.31,52480298695.47,74149129276.70,0.1214,0.1057,1.2016,128616672.57,55835360.28,-0.01,0.055,1.0,0.025,0.035,Adverse
2024-01-01,HRB000001,Consumer,2023-11-02,2024-11-02,85545.13,10170.85,0.1183,2,Retail,Southeast,Other,0.0,0.0,0,0,0.125,0.45,10170.85,572.38,0.145,0.395,0.790,84283339872.31,52480298695.47,74149129276.70,0.1214,0.1057,1.2016,128616672.57,55835360.28,-0.03,0.065,1.0,0.015,0.065,Severely Adverse
2024-01-01,HRB000002,Consumer,2023-11-13,2033-11-13,57121.32,29658.42,0.0484,6,Technology,Northeast,Other,0.0,0.0,0,0,0.395,0.55,29658.42,6448.41,0.474,0.790,1.0,84283339872.31,52480298695.47,74149129276.70,0.1214,0.1057,1.2016,128616672.57,55835360.28,-0.03,0.065,1.0,0.015,0.065,Severely Adverse
2024-01-01,HRB000003,Commercial & Industrial,2020-05-11,2025-05-11,4933852.62,3704715.74,0.101,2,Energy,West Coast,Unsecured,0.0,2.4,0,0,0.145,0.65,3704715.74,349256.78,0.174,0.290,0.580,84283339872.31,52480298695.47,74149129276.70,0.1214,0.1057,1.2016,128616672.57,55835360.28,-0.03,0.065,1.0,0.015,0.065,Severely Adverse
2024-01-01,HRB000004,Consumer,2021-03-31,2026-03-31,391871.66,384273.75,0.1186,5,Manufacturing,Northeast,Other,0.0,0.0,30,0,0.330,0.50,384273.75,63365.17,0.396,0.660,1.0,84283339872.31,52480298695.47,74149129276.70,0.1214,0.1057,1.2016,128616672.57,55835360.28,-0.03,0.065,1.0,0.015,0.065,Severely Adverse
2024-01-01,HRB000005,Commercial Real Estate,2021-04-04,2031-04-04,567320.51,341688.85,0.0947,1,Retail,Midwest,Multifamily,0.616,1.58,0,0,0.065,0.45,341688.85,10009.64,0.078,0.130,0.260,84283339872.31,52480298695.47,74149129276.70,0.1214,0.1057,1.2016,128616672.57,55835360.28,-0.03,0.065,1.0,0.015,0.065,Severely Adverse
